행정구,카페이름,지번주소,도로명코드,도로명,도로명 주소,경도,위도
서초구,어투썸플레이스,서울특별시 서초구 양재동 315-5,1.17E+11,서울특별시 서초구 강남대로16길,서울특별시 서초구 강남대로16길 3,127.0391999,37.47099511
서초구,공미학,서울특별시 서초구 서초동 1564-1,1.17E+11,서울특별시 서초구 서초대로48길,서울특별시 서초구 서초대로48길 101,127.0124574,37.48861556
서초구,제로월드,서울특별시 서초구 서초동 1308-25,1.17E+11,서울특별시 서초구 서초대로73길,서울특별시 서초구 서초대로73길 40,127.0245438,37.50091627
서초구,투썸플레이스,서울특별시 서초구 반포동 30-25,1.17E+11,서울특별시 서초구 서초중앙로,서울특별시 서초구 서초중앙로 238,127.0120536,37.50295697
서초구,커피지인,서울특별시 서초구 서초동 1337-6,1.17E+11,서울특별시 서초구 강남대로51길,서울특별시 서초구 강남대로51길 10,127.0292715,37.49128688
서초구,카페고고스회관,서울특별시 서초구 우면동 210-4,1.17E+11,서울특별시 서초구 형촌10길,서울특별시 서초구 형촌10길 3,127.0196378,37.46611288
서초구,커피집,서울특별시 서초구 잠원동 36-28,1.17E+11,서울특별시 서초구 신반포로47길,서울특별시 서초구 신반포로47길 36,127.019011,37.51233185
서초구,산재카페,서울특별시 서초구 서초동 1365-7,1.17E+11,서울특별시 서초구 강남대로37길,서울특별시 서초구 강남대로37길 49,127.0308843,37.48461428
서초구,카페,서울특별시 서초구 반포동 93-3,1.17E+11,서울특별시 서초구 사평대로26길,서울특별시 서초구 사평대로26길 8,126.9986828,37.49974477
서초구,빌리엔젤,서울특별시 서초구 서초동 1575-1,1.17E+11,서울특별시 서초구 반포대로28길,서울특별시 서초구 반포대로28길 94,127.0133749,37.4919301
서초구,매더커피갤러리,서울특별시 서초구 서초동 1530-12,1.17E+11,서울특별시 서초구 효령로47길,서울특별시 서초구 효령로47길 15,127.009413,37.48452631
서초구,퍼스트커피&베이커리,서울특별시 서초구 서초동 1309,1.17E+11,서울특별시 서초구 서초대로77길,서울특별시 서초구 서초대로77길 61,127.0236646,37.50242277
서초구,샌드위치카페,서울특별시 서초구 방배동 911-1,1.17E+11,서울특별시 서초구 방배로13길,서울특별시 서초구 방배로13길 19,126.9953825,37.48270485
서초구,어느새봄,서울특별시 서초구 양재동 362-5,1.17E+11,서울특별시 서초구 강남대로2길,서울특별시 서초구 강남대로2길 70,127.0455906,37.46807341
서초구,올탑스터디카페,서울특별시 서초구 우면동 720,1.17E+11,서울특별시 서초구 태봉로2길,서울특별시 서초구 태봉로2길 65,127.0257681,37.46411818
